Service name,Source website URL,Summary text,Self-referral,Age
NATTER - Mental Health Innovations,,"Get confidential support through text messaging. You can text about anything that’s on your mind. Your text will be answered by trained volunteers.
<a title=""More info about Natter"" href=""https://bestforyou.org.uk/text-natter-24-7-support/"" target=""_blank"" rel=""noopener"">More about NATTER</a>",1,4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Samaritans,https://www.samaritans.org/how-we-can-help/contact-samaritan/,"You can speak to a trained volunteer at Samaritans about anything you’re going through. The volunteer will help you work through whatever is on your mind – they will not tell you what to do. If you email, it might take several days to get a response.",1,4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Alateen online meetings Al-Anon,https://al-anonuk.org.uk/alateen/,Online meetings on Zoom for young people who are affected by a relative or friend’s alcohol use. Young people share their experiences and help and support each other.,1,12|13|14|15|16|17
Talk to Frank,https://www.talktofrank.com/,"Provides honest information and advice about drugs, helping young people understand risks, effects, and choices, and supporting those worried about drug use.",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Paws to Listen phone line Cats Protection,https://www.cats.org.uk/what-we-do/grief/paws-to-listen,"A phone line offering practical information and emotional support for people who need to talk about pet-related grief. Older young people can call the helpline themselves, but parents and carers can call to talk about how to support younger children too.",1,14|15|16|17|18|19|20|21|22|23|24|25
Child Bereavement UK,https://www.childbereavementuk.org/about-our-helpline,"Supports children, young people and families affected by bereavement, offering help to cope with grief after the death of someone important or when someone is dying.",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Cruse bereavement support helpline Cruse,https://www.cruse.org.uk/get-support/helpline/,Phone helpline that offers emotional support to anyone affected by grief. You can talk to the trained volunteers about your feelings and how you've been coping.,1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Drinkline,https://www.drinkaware.co.uk/advice-and-support/alcohol-support-services/chat-with-an-advisor/,"Confidential advice and support for anyone concerned about alcohol use, whether their own or someone else’s, including information about health risks and options for further help.",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
GALOP,https://www.galop.org.uk/helpline,"Supports LGBTQ+ people who have experienced abuse, violence, or hate crime, offering specialist advice and help to improve safety, wellbeing, and recovery.",1,18|19|20|21|22|23|24|25
GamCare,https://www.gamcare.org.uk/get-support/talk-to-us-now/,"Information, advice, and support for anyone affected by gambling. You can get in touch about your own gambling, or someone else’s. It doesn’t matter how long it’s been going on.",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Grief Encounter,https://www.griefencounter.org.uk/get-support/support-services/counselling/,"One-to-one therapy for young people who have experienced the death of a parent, sibling, sibling figure, or other main carer. You must be at least 4 months bereaved and not receiving any other therapy. This service cannot support young people who are actively self-harming or experiencing suicidal ideation.",1,4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
ZAP workshops Kidscape,https://www.kidscape.org.uk/training-and-workshops/zap-workshops-for-young-people-impacted-by-bullying,A therapeutic workshop for young people impacted by bullying. The workshop gives young people practical strategies that help build their confidence so they can take action to prevent bullying behaviour. Most of the workshops are run online and a parent or carer needs to be with the young person.,1,9|10|11|12|13|14|15|16|17
Muslim Women’s Network,https://www.mwnhelpline.co.uk/contactus.php,"Provides culturally sensitive support for Muslim women and girls facing issues such as abuse, mental health difficulties, discrimination, or family and relationship problems.",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Nacoa,https://nacoa.org.uk/about-nacoa/helpline/calling-the-helpline/,"Supports children and young people affected by a parent’s drinking, offering reassurance, advice, and understanding to help them cope with the impact at home.",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
OCD Action,https://ocdaction.org.uk/online-support-groups/,"Provides support and information for people affected by obsessive compulsive disorder, helping them understand symptoms, access treatment, and manage daily challenges.",1,18|19|20|21|22|23|24|25|14|15|16|17
Pyramid Youth Group (online) Spectra,https://spectra-london.org.uk/spectra_services/young-persons-lgbtq-group/,Online youth club sessions over Zoom for LGBTQI+ young people to socialise and find support.,1,13|14|15|16|17|18
Survivors UK,https://www.survivorsuk.org/helpline/,"Offers specialist support for male and non-binary survivors of sexual abuse, helping people cope with trauma, improve wellbeing, and access ongoing emotional support.",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
The Mix Counselling service The Mix,https://www.themix.org.uk/counselling/,Up to 8 sessions of counselling online (or over the phone) to support young people with their mental health and wellbeing.,1,13|14|15|16|17|18|19|20|21|22|23|24|25
The Proud Trust,https://www.theproudtrust.org/proud-connections/proud-connections-live-chat/,"Supports LGBTQ+ young people with issues around identity, mental health, and wellbeing, offering safe spaces, information, and guidance to help them feel supported and understood.",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Winston’s Wish,https://winstonswish.org/supporting-you/grief-support-young-people/,"Provides support via live chat, phone, email and text including one-to-one support, group support and specialist therapy.",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
NHS 111 NHS,https://111.nhs.uk/triage/check-your-mental-health-symptoms,Enter your symptoms into NHS 111 online or call NHS 111 to find out what to do to get the right support.,1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
HOPELINE247 Papyrus,https://www.papyrus-uk.org/papyrus-hopeline247/,Hopeline advisers work with people to understand why they might have thoughts of suicide. They also provide a safe space to talk through anything happening that could be affecting someone’s ability to stay safe. You can request the language line if you aren’t able to (or would prefer not to) speak English.,,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Childline NSPCC,https://www.childline.org.uk/get-support/,"You can talk to a Childline counsellor about whatever you’re going through. Childline is confidential and there are different ways to get in touch. You can contact Childline at any time, but their counsellors might not be able to talk to you for as long at night.",1,8|9|10|11|12|13|14|15|16|17
Sport & Thought Brent Centre for Young People,https://www.brentcentre.org.uk/our-services/sport-and-thought,"A special type of therapy that uses football to help young people who struggle to manage their feelings, who are struggling to go to school, or who are vulnerable to exploitation",,14|15|16|17|18|19|20|21
Support for disordered eating Brent Centre for Young People,https://www.brentcentre.org.uk/our-services/support-for-disordered-eating,A supportive space where young people facing eating difficulties and body image concerns can talk about it openly.,,14|15|16|17|18|19|20|21
The Irish Project Brent Centre for Young People,https://www.brentcentre.org.uk/our-services/the-irish-project,Talking therapy for young people as well as flexible support tailored to young Irish Travellers,,14|15|16|17|18|19|20|21
Youth Offending Service Brent Centre for Young People,https://www.brentcentre.org.uk/our-services/youth-offending-service-yos,"A range of services to support the rehabilitation process, including victim awareness sessions, adolescent exploratory therapy, and parent sessions.",,14|15|16|17|18|19|20|21
Therapy and support Brent Centre for Young People,https://www.brentcentre.org.uk/our-services/introduction#inhouseservices,"Adolescent Exploratory Therapy, a special type of therapy developed for young people, alongside practical support.",,14|15|16|17|18|19|20|21
Elev8 Via,https://www.viaorg.uk/services/brent-elev8/,"Advice, information, and 1-2-1 sessions with a support worker (in person or online) for young people who are worried about their drug or alcohol use or emotional wellbeing",1,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
New Beginnings Via,https://www.viaorg.uk/services/brent-new-beginnings/,"Support for adults worried about their alcohol or drug use. You can access regular sessions with your keyworker, support groups (including an abstinence day programme), weekend drop-in support, and weekly women-only spaces.",1,18|19|20|21|22|23|24|25
Mentoring Julian Campbell Foundation,https://juliancampbellfoundation.org/w/our-services/,Mentoring that supports young people to gain knowledge and tools to manage their mood and wellbeing.,1,11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Bang Create Change,https://wearebang.com/projects/create-change/,"A specialist, creative therapy service that offers one-to-one and?group sessions.",1,8|9|10|11|12|13|14|15|16
Bang Bang Evolution,https://wearebang.com/projects/bang-evolution/,A mentoring and coaching programme that offers one-to-one and group sessions to build confidence.,1,8|9|10|11|12|13|14|15|16|17|18
West Central London Mind Suicide bereavement support for children and young people,https://allkind.org.uk/children-young-people-services/suicide-bereavement-support-for-young-people/,"One-to-one, confidential support for young people who have been affected by suicide. This service used to be provided by West Central London Mind – the organisation has rebranded and changed its name to Allkind.",1,8|9|10|11|12|13|14|15|16|17|18
Arts for Life Project Arts for Life Project,https://www.artsforlifeproject.org,"A range of services, including group art sessions, one-to-one clinical therapy, one-to-one art and wellbeing sessions, and one-to-one mentoring.",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Big Buddies Family Friends,https://www.familyfriendscharity.co.uk/big-buddies,Pairs young people with adult volunteers to provide support and companionship during challenging times.,,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Pyramid Youth Group (in person) Spectra,https://spectra-london.org.uk/spectra_services/young-persons-lgbtq-group/,In person youth club sessions for LGBTQ+ young people in London to socialise and find support. These in-person sessions run in addition to online sessions. The online sessions happen more often.,1,13|14|15|16|17|18
Online counselling Spectra,https://spectra-london.org.uk/spectra_services/young-persons-counselling/,"Up to 12 sessions of online counselling for LGBTQ+ young people. You can chat to your counsellor or explore though creative media like drama, poetry, and art-making. If you are under 16, you need a parent or carer’s consent to access this service.",1,13|14|15|16|17|18
One-to-one support for neurodivergent young people Centre for ADHD and Autism support,https://adhdandautism.org/services/youth/,Around 6 sessions of blended online and face-to-face support from youth workers for young people who are autistic or have ADHD.,1,11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Social groups for neurodivergent young people Centre for ADHD and Autism support,https://adhdandautism.org/services/youth/,"A range of social groups for young people including groups based around films, quizzes, creativity, and socialising. Some groups are only for people who live in Harrow or Hillingdon. Each group has its own age limits, but people aged 18 and over can find more groups on the 'for adults' section of the CAAS website.",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
Courses for neurodivergent young people Centre for ADHD and Autism support,https://adhdandautism.org/services/youth/,"Courses on topics including becoming an adult, building confidence, making the right choices and seeing the positives in having ADHD or being autistic. Different courses have their own age limits and people over 18 can find more groups on the 'for adults' section of the CAAS website.",1,12|13|14|15|16|17|18|19|20|21|22|23|24|25
Personalised task support for autistic adults Centre for ADHD and Autism support,https://adhdandautism.org/services/adults/,"Support for autistic adults with practical things like making phone calls, filling out forms, applying for benefits, or making CVs.",1,18|19|20|21|22|23|24|25
